net,length_um
_087_,150.51
_090_,136.46
_164_,113
_166_,94.92
_165_,91.54
_131_,75.71
clknet_2_0__leaf_clk,75.31
_086_,73.94
clknet_0_clk,72.17
clknet_2_3__leaf_clk,69.96
clknet_2_1__leaf_clk,69.3
_076_,59.96
_075_,57.1
clk,51.88
clknet_2_2__leaf_clk,47.08
count\[17\],35.57
net1,34.68
_080_,34.58
count\[25\],33.76
_070_,33.74
count\[16\],33.525
count\[11\],32.28
_078_,32.22
count\[1\],31.95
num\[0\],31.08
_111_,30.14
num\[1\],29.3
count\[8\],28.82
_122_,28.66
count\[4\],27.66
_141_,27.2
num\[2\],27.11
count\[0\],26.33
count\[20\],25.72
_130_,25.28
count\[13\],25.26
_083_,23.22
_077_,22.62
count\[2\],21.39
_081_,21.2
_156_,20.54
count\[5\],20.4
count\[10\],20.08
_148_,18.94
count\[6\],18.8
count\[14\],17.44
_071_,17.38
count\[22\],17.36
_114_,16.9
count\[9\],16.88
_069_,16.86
count\[19\],16.14
count\[21\],15.72
count\[18\],15.28
_137_,14.9
_068_,14.34
count\[24\],13.94
_067_,13.68
_072_,13.5
_126_,13.38
_064_,13.06
_135_,13
_153_,12.64
count\[12\],12.3
_066_,12.16
_018_,11.92
_154_,11.76
_123_,11.6
_101_,11.42
count\[27\],11.3
_159_,10.84
count\[3\],10.4
_127_,10.32
_121_,9.84
_125_,9.8
_009_,9.74
_119_,9.74
_136_,9.62
_155_,9.42
_095_,8.94
_124_,8.88
count\[26\],8.88
_026_,8.6
_115_,8.32
_093_,8.16
_133_,8.06
net13,8.02
net5,7.96
_003_,7.86
_073_,7.64
_028_,7.61
_151_,7.56
_112_,7.28
_142_,7.18
seg[3],7.11
_138_,7
_063_,6.86
_033_,6.84
seg[0],6.69
_140_,6.64
count\[23\],6.6
_134_,6.5
_049_,6.48
_132_,6.46
_047_,6.41
_108_,6.36
_139_,6.26
seg[4],6.09
_096_,6.04
_057_,6.02
_109_,6
seg[1],5.75
_084_,5.74
_128_,5.74
_065_,5.72
_085_,5.72
net2,5.68
_074_,5.52
_005_,5.46
_014_,5.46
_040_,5.45
_004_,5.38
_001_,5.305
rst,5.29
_034_,5.26
_046_,5.26
_147_,5.26
net4,5.22
_088_,5.14
_152_,5.14
seg[5],5.07
seg[6],5.07
_045_,4.97
net14,4.92
net6,4.8
_043_,4.68
_146_,4.66
_089_,4.56
_013_,4.46
_061_,4.46
net8,4.46
seg[2],4.39
net3,4.34
_010_,4.305
_104_,4.24
_100_,4.22
count\[15\],4.22
_017_,4.14
_037_,4.1
_055_,4.1
_053_,4.08
_025_,4
_150_,4
_038_,3.98
_102_,3.98
count\[7\],3.905
_158_,3.9
_012_,3.88
_015_,3.845
_058_,3.69
_143_,3.56
_118_,3.55
_024_,3.54
_099_,3.52
_120_,3.44
_051_,3.42
_110_,3.42
_157_,3.32
net10,3.32
_160_,3.3
_149_,3.22
_008_,3.2
_048_,3.18
_030_,3.15
_011_,3.08
_054_,3.08
_144_,3.08
net9,3.08
_036_,3.06
_107_,3.06
_103_,2.96
_032_,2.84
_041_,2.84
_056_,2.77
_021_,2.74
_042_,2.69
_020_,2.64
_062_,2.64
_023_,2.62
_113_,2.62
_039_,2.5
_091_,2.46
_006_,2.28
_079_,2.28
_031_,2.23
_044_,2.23
_052_,2.23
_002_,2.18
_022_,2.18
_027_,2.18
_059_,2.18
_060_,2.18
_129_,2.18
_106_,2.06
_116_,2.06
_117_,2.06
_105_,1.92
net11,1.84
_000_,1.82
_050_,1.82
_007_,1.745
_145_,1.72
_016_,1.7
_029_,1.7
_097_,1.7
_082_,1.6
net7,1.6
_161_,1.38
_035_,1.36
_094_,1.22
_092_,1.14
_098_,0.92
_163_,0.8
_162_,0.46
net12,0.46
