net,length_um
_182_,172.04
_176_,146.32
net1,133.96
_183_,128.62
net14,126.44
_203_,122.45
net2,122.02
_189_,119.06
_218_,118.38
_217_,115.545
_052_,115
net7,110.715
_019_,106.795
_195_,102.06
net15,100.66
_193_,98.57
_200_,96.8
_190_,93.77
_241_,93.61
_198_,89.74
_205_,88.29
_238_,85.915
_197_,76.6
net3,72.48
_105_,72.22
_196_,70.24
net11,68.16
_021_,65.87
_233_,65.66
net12,61.64
net4,60.96
net8,60.16
_035_,55.76
net28,55.06
net13,51.4
net19,50.56
_038_,41.96
_075_,40.36
net23,40.1
net9,38.78
_024_,36.58
_080_,36.44
_180_,36.28
_140_,35.2
net10,34.06
net17,33.95
_194_,33.86
_034_,31.66
_099_,31.34
_118_,31.32
_113_,31.04
net16,30.96
_135_,30.8
_072_,30.46
net24,30.06
_156_,29.64
_154_,29.16
_086_,28.68
net5,28.42
net21,27.58
_115_,27.5
_204_,27.26
net20,25.5
_181_,25.405
net26,24.48
_114_,24.42
_120_,24.36
_141_,24.34
_187_,24.2
net18,24.18
_240_,23.88
_065_,23.69
_153_,23.66
_119_,23.64
_151_,23.2
_230_,23.14
_150_,22.92
_164_,22.92
net25,22.9
_227_,22.28
_039_,22.12
_025_,21.36
_088_,21.08
_109_,20.86
_226_,20.78
_108_,20.58
_030_,20.03
net6,19.32
_236_,18.98
_000_,18.94
_041_,18.78
_100_,18.74
_128_,18.68
_224_,18.24
_123_,18.1
_185_,17.7
net22,17.7
_092_,17.6
_059_,17.52
_079_,17.4
_013_,17.36
_050_,17.14
_110_,17.02
_066_,16.74
_223_,16.74
_171_,16.4
_067_,16.16
_053_,15.94
_122_,15.9
_211_,15.4
B[1],15.02
_036_,14.72
_244_,14.56
_073_,14.36
_060_,14.3
_040_,14.22
_149_,14.22
A[4],14.1
_061_,13.98
_095_,13.98
_098_,13.88
_026_,13.78
A[2],13.64
_003_,13.62
A[3],13.38
B[0],13.18
_221_,13.08
_045_,13.06
_112_,12.94
_089_,12.92
_018_,12.74
_174_,12.5
_027_,12.42
_004_,12.22
_245_,12.2
_076_,12.18
_064_,12.06
_170_,11.92
A[5],11.8
_103_,11.78
_130_,11.755
_069_,11.72
_012_,11.7
_055_,11.58
_133_,11.54
_148_,11.34
_077_,11.14
_062_,11.04
B[2],10.88
B[3],10.88
_169_,10.78
_111_,10.76
_228_,10.74
_081_,10.62
_161_,10.54
B[4],10.42
_020_,10.36
_006_,10.24
_166_,10.04
_167_,10.02
_029_,9.98
_074_,9.92
_002_,9.9
_054_,9.86
_144_,9.86
_093_,9.46
_147_,9.44
_159_,9.42
_129_,9.34
_116_,9.24
_056_,9.16
_243_,9.12
_070_,9.08
_014_,9.06
_005_,9
_214_,8.98
out[4],8.96
out[5],8.96
out[6],8.96
_152_,8.92
_031_,8.9
A[6],8.84
B[5],8.84
_044_,8.82
_212_,8.82
_168_,8.7
_146_,8.64
_137_,8.52
_132_,8.48
_058_,8.46
_009_,8.44
_063_,8.38
_097_,8.2
_229_,8.12
_136_,8.06
_163_,8.045
_131_,8.02
_231_,7.98
_011_,7.94
_008_,7.68
_085_,7.64
_162_,7.64
_051_,7.6
_208_,7.54
_094_,7.52
_090_,7.28
net27,7.24
_107_,7.2
_010_,7.18
_022_,7.18
_178_,6.9
A[7],6.77
_143_,6.64
_106_,6.52
_165_,6.52
_032_,6.48
_096_,6.36
A[0],6.33
_068_,6.3
_142_,6.295
_046_,6.26
out[3],6.21
_157_,6.18
_213_,6.08
opcode[0],5.97
_138_,5.84
_237_,5.84
_239_,5.84
_173_,5.82
opcode[1],5.75
out[7],5.75
_028_,5.74
_201_,5.74
_091_,5.72
_124_,5.72
opcode[2],5.63
_222_,5.4
_102_,5.38
_207_,5.36
_033_,5.34
B[7],5.29
_145_,5.28
_206_,5.24
_042_,5.16
_192_,4.88
_087_,4.8
_134_,4.76
_232_,4.76
_078_,4.68
B[6],4.61
out[2],4.61
_247_,4.6
out[0],4.39
_209_,4.36
out[1],4.27
_126_,4.025
_043_,3.88
_049_,3.88
_155_,3.76
_234_,3.76
_001_,3.56
_017_,3.54
A[1],3.47
_101_,3.42
_127_,3.42
_186_,3.3
_216_,3.22
_172_,3.08
_016_,2.96
_125_,2.96
_037_,2.76
_007_,2.62
_082_,2.62
_160_,2.62
_015_,2.52
_048_,2.52
_083_,2.52
_084_,2.5
_104_,2.5
_210_,2.5
_215_,2.5
_242_,2.5
_117_,2.28
_219_,2.18
_047_,2.16
_179_,2.16
_202_,2.16
_220_,2.16
_235_,2.16
_246_,2.16
_121_,2.11
_023_,2.04
_158_,2.04
_139_,1.72
_177_,1.72
_199_,1.72
_071_,1.7
_175_,1.7
_188_,1.7
_057_,1.26
_191_,0.92
_225_,0.8
_184_,0.46
