net,length_um
_0299_,3230.38
_0298_,3181.515
_1240_,3159.975
_0274_,3064.23
_0297_,3062.99
_0667_,3018.01
_0713_,2994.64
_0269_,2960.155
_0330_,2950.22
_1277_,2938.32
_1090_,2922.48
_1194_,2913.3
net35,2890.19
_0666_,2842.7
_0571_,2804.22
net7,2782.07
_0235_,2781.44
_0691_,2774.1
net18,2747.65
_1101_,2741.82
_0742_,2706.125
_1136_,2686.61
_0490_,2679.66
_1114_,2659.625
_0525_,2615.3
net34,2612.66
_0646_,2606.42
net37,2560.44
net32,2555.13
_0345_,2538.89
_0270_,2528.65
_0226_,2527.485
_0357_,2517.02
_0224_,2507.64
_0432_,2503.34
_0887_,2499.83
_0320_,2482.395
_0409_,2472.06
_0561_,2471.05
_0758_,2468.68
net15,2466.27
_0271_,2458.65
_0542_,2456.32
_1218_,2449.44
_0517_,2440.65
net33,2434.45
net9,2405.27
_1079_,2394.175
_1266_,2377.28
_1048_,2365.6
net38,2362.47
net13,2361.475
_0437_,2300.76
net14,2286.42
net26,2278.33
_0491_,2270.07
_1125_,2265.25
net25,2254.35
_0760_,2252.04
_0615_,2247.93
_0514_,2246.1
_0719_,2234.82
_0527_,2226.955
_0227_,2225.3
_0931_,2215.765
_1183_,2206.57
_1182_,2124.325
_0239_,2121.7
net20,2120.28
_0549_,2119.63
_0352_,2116.29
_0228_,2112.24
net8,2111.89
_0519_,2110.41
_0276_,2101.04
_0689_,2088.815
_0225_,2086.85
_0824_,2083.89
_0223_,2074.43
_0231_,2002.83
net30,1996.75
net10,1988.67
_0325_,1973.84
net36,1967.93
net29,1953.18
_0321_,1933.96
net22,1889.69
_0810_,1844.32
net27,1827.12
net23,1809.565
_0234_,1807.36
net443,1806.66
net31,1790.49
_0987_,1781.3
_0526_,1773.84
_0528_,1757.9
_0385_,1733.46
net258,1693.86
_0807_,1680.2
_0292_,1675.86
_0659_,1663.48
net364,1662.71
net404,1655.47
net393,1647.17
_0855_,1643.36
_0686_,1635.62
net12,1628.77
net3,1627.52
net212,1625.7
net21,1618.9
net405,1615.84
net447,1610.78
_0905_,1605.37
_1264_,1602.04
net394,1582.2
_0564_,1580.51
_0243_,1580.42
net1,1576.14
net448,1572.37
_0412_,1567.82
net297,1557.75
RF.registers\[10\]\[16\],1557.15
RF.registers\[0\]\[3\],1555.3
_0056_,1554.66
_1007_,1551.315
_0585_,1549.84
_0494_,1548.94
_0070_,1547.8
_0281_,1527.68
net446,1527.04
_1196_,1523
net363,1520.78
_0933_,1518.76
net466,1514.4
RF.registers\[15\]\[31\],1502.27
_0284_,1502.095
SSD.count\[5\],1499.5
RF.registers\[0\]\[11\],1498.68
_0922_,1484.43
_0877_,1480.1
_0734_,1479
_0749_,1475.055
_0723_,1474.54
_0932_,1473.805
RF.registers\[25\]\[26\],1461.22
_0890_,1460.22
_1229_,1456.93
