net,length_um
clknet_0_clk,1124.695
_03947_,1116.07
_03750_,1077.42
_03759_,1005.33
_03747_,967.45
_03809_,953.34
_02789_,936.51
_03812_,935.72
_02796_,898.85
_02720_,895.69
_02975_,887.15
_02735_,882.28
_03804_,877.26
_03954_,866.44
_02782_,865.95
_02724_,864.04
_02922_,863.54
_02924_,847.5
_03774_,847.1
_02731_,836.1
_03861_,831.82
_02801_,829.19
_02738_,825.42
_03760_,825.345
_02912_,823.67
_02970_,821.1
_02790_,800.36
_03757_,797.77
_03935_,797.68
_02750_,795.81
_02897_,787.45
_02898_,787.31
net8,775.19
_02787_,768.68
_03953_,767.97
_02887_,763.655
_03946_,757.45
_03826_,751.35
_02780_,743.73
_02783_,742.62
clknet_3_3__leaf_clk,742.365
_03767_,741.18
_03914_,740.845
_02767_,739.19
_03806_,735.4
_02786_,733.955
_02793_,730.11
_02763_,726.345
_01820_,726.3
_02764_,720.56
_03819_,715.04
_02978_,712.49
_03870_,712.35
_02916_,712.02
_02891_,711.91
_03825_,711.29
_03839_,706.86
_03786_,704.175
_03805_,703.515
_02984_,703.45
_02753_,703.25
_03810_,702.61
_03783_,701.78
_02910_,697.57
_02760_,697.16
_02893_,689.98
_03823_,689.78
_02802_,689.68
_03790_,689.33
_03781_,686.47
net3,681.78
clknet_3_1__leaf_clk,680.82
_02989_,679.28
_02726_,677.8
_03813_,677.64
_03792_,675.73
_03824_,675.3
_01816_,669.35
_03753_,667.09
_04231_,660.33
_04015_,659.21
_02768_,658.7
_02901_,658.06
_02742_,656.92
_02761_,654.74
_02781_,652.68
_03285_,649.11
_03917_,647.34
_02864_,647.03
_02770_,646.6
_03951_,646.5
_03921_,642.97
_02914_,642.62
_03807_,641.22
_02779_,639.115
_01818_,638.12
_02807_,637.77
_02812_,636.31
_02775_,635.29
_02758_,633.42
_03768_,633.01
_01814_,631.86
_03924_,627.52
clknet_3_0__leaf_clk,627.25
_02765_,626.99
_03836_,624.97
_03830_,624.035
_03794_,623.13
_04184_,620.48
_03803_,620.45
_02815_,619.03
_03949_,618.85
_03799_,617.94
_02294_,616.86
_03770_,614.61
_02900_,614.2
_03816_,613.47
_03361_,612.96
_03779_,611.77
_02296_,609.97
_03925_,605.35
_02292_,604.48
_03788_,604.46
_03835_,603.02
clknet_3_4__leaf_clk,602.41
_03031_,600.29
_02909_,599.59
_02904_,599.55
_03833_,596.61
_03837_,596.16
_03892_,595.86
_01891_,595.73
_03867_,595.51
_02302_,594.98
_01810_,590.89
_03273_,590.57
_03875_,590.33
_03287_,585.63
_02502_,583.39
_02908_,582.31
_01937_,581.99
_03763_,581
_02798_,579.39
_03785_,578.39
_02734_,575.69
clknet_3_6__leaf_clk,570.54
clknet_3_7__leaf_clk,570.39
_03440_,569.18
_01791_,566.15
_01805_,565.97
_02289_,561.39
_03983_,559.87
_01935_,558.71
_02869_,558.285
_02810_,555.97
_02745_,554.86
_02803_,552.47
_02727_,551.39
_03815_,548.85
_01932_,547.5
_02784_,547.365
_03784_,546.87
_03041_,545.6
_02287_,545.58
_03288_,543.5
_01839_,542.98
_01809_,541.73
clknet_3_2__leaf_clk,541.49
_03777_,541.48
_02312_,540.49
_03749_,540.47
_04233_,538.545
_02813_,537.86
net2,537.13
_03831_,534.95
_02722_,534.27
net36,533.4
_02298_,532.5
net7,531.62
_03827_,531.29
_03853_,531.24
_01939_,530.915
_02994_,530.4
_03366_,527.3
_02794_,526.16
_03145_,525.91
_03754_,525.89
_03353_,525.74
_02538_,525.03
_04985_,524.98
_03828_,524.91
net42,523.12
_03272_,523.02
_02804_,520.64
_03926_,520.56
_01930_,520.49
